nid,subject,university,rank,overall_score,Academic Reputation_score,Employer Reputation_score,Citations per Paper_score,H-index Citations_score,International Research Network_score,Academic Reputation_rank,Employer Reputation_rank,Citations per Paper_rank,H-index Citations_rank,International Research Network_rank
3846228,biological-sciences,Chang Gung University,507,-,41.7,51.7,75.5,67.9,67.9,151+,151+,151+,151+,151+
3846228,biological-sciences,National Sun Yat-sen University,566,-,51.1,60.7,61.4,59,59,151+,151+,151+,151+,151+
3846228,biological-sciences,National Taiwan University of Science and Technology (Taiwan Tech),620,-,55.8,57,52.1,52.7,52.7,151+,151+,151+,151+,151+
3846229,business-management-studies,National Taiwan University (NTU),107,70.5,66.8,72.6,72.3,81,81,114,81,151+,151+,151+
3846229,business-management-studies,National Tsing Hua University,176,-,57.9,65,78.3,78.6,78.6,151+,151+,121,151+,151+
3846229,business-management-studies,National Cheng Kung University (NCKU),221,-,58.4,64.6,69,78.6,78.6,151+,151+,151+,151+,151+
3846229,business-management-studies,National Chengchi University,222,-,60.2,59.6,68.1,79.6,79.6,151+,151+,151+,151+,151+
3846229,business-management-studies,National Taipei University of Technology,269,-,57.4,65.9,66.9,66.9,66.9,151+,151+,151+,151+,151+
3846229,business-management-studies,National Yang Ming Chiao Tung University,271,-,54.1,62.4,69.3,77.1,77.1,151+,151+,151+,151+,151+
3846229,business-management-studies,National Sun Yat-sen University,320,-,55.5,56.9,75,80.1,80.1,151+,151+,151+,151+,151+
3846229,business-management-studies,National Taiwan University of Science and Technology (Taiwan Tech),321,-,53.6,57.5,76.9,78.6,78.6,151+,151+,151+,151+,151+
3846229,business-management-studies,National Central University,469,-,48.1,55.1,69.6,74.8,74.8,151+,151+,151+,151+,151+
3846229,business-management-studies,National Taiwan Normal University,470,-,48.9,54,66.8,72.2,72.2,151+,151+,151+,151+,151+
3846230,chemistry,National Taiwan University (NTU),80,75.1,77.6,72.9,85.1,75.1,75.1,48,95,151+,149,149
3846230,chemistry,National Tsing Hua University,166,-,69.4,70.3,82.6,70,70,115,138,151+,151+,151+
3846230,chemistry,National Cheng Kung University (NCKU),260,-,61.1,66.6,78.8,60.9,60.9,151+,151+,151+,151+,151+
3846230,chemistry,National Taiwan University of Science and Technology (Taiwan Tech),262,-,62,60.9,79.3,58.2,58.2,151+,151+,151+,151+,151+
3846230,chemistry,National Yang Ming Chiao Tung University,263,-,59.7,65.3,77.5,65.7,65.7,151+,151+,151+,151+,151+
3846230,chemistry,National Sun Yat-sen University,371,-,59.4,58.6,73.4,54.8,54.8,151+,151+,151+,151+,151+
3846230,chemistry,National Chung Hsing University,472,-,53.9,57.7,76.2,57,57,151+,151+,151+,151+,151+
3846230,chemistry,National Taiwan Normal University,521,-,60.5,54.8,63.5,51.4,51.4,151+,151+,151+,151+,151+
3846230,chemistry,Kaohsiung Medical University,610,-,41.3,49.5,77.2,59.8,59.8,151+,151+,151+,151+,151+
3846230,chemistry,National Central University,614,-,48,56,69.3,49.2,49.2,151+,151+,151+,151+,151+
