year,subject_nid,subject,university_nid,country,university,rank,overall_score,Academic Reputation_score,Employer Reputation_score,Citations per Paper_score,H-index Citations_score,International Research Network_score
2023,3846230,chemistry,294807,Taiwan,National Sun Yat-sen University,371,n/a,59.4,58.6,73.4,54.8,39.3
2023,3846230,chemistry,294808,Taiwan,National Chung Hsing University,472,n/a,53.9,57.7,76.2,57,32.4
2023,3846230,chemistry,294806,Taiwan,National Taiwan Normal University,521,n/a,60.5,54.8,63.5,51.4,12.4
2023,3846230,chemistry,295787,Taiwan,Kaohsiung Medical University,610,n/a,41.3,49.5,77.2,59.8,37.6
2023,3846230,chemistry,294816,Taiwan,National Central University,614,n/a,48,56,69.3,49.2,29.8
2023,3846231,classics-ancient-history,294804,Taiwan,National Taiwan University (NTU),22,79.8,80,77.5,n/a,n/a,
2023,3846231,classics-ancient-history,294811,Taiwan,National Chengchi University,43,73.7,72.9,81,n/a,n/a,
2023,3846231,classics-ancient-history,294692,Taiwan,National Chung Cheng University,63,n/a,69,71.7,n/a,n/a,
2023,3846232,communication-media-studies,294804,Taiwan,National Taiwan University (NTU),114,n/a,72,77.8,76.8,65.8,
2023,3846232,communication-media-studies,294811,Taiwan,National Chengchi University,166,n/a,65.2,64.7,80.4,69,
2023,3846233,computer-science-information-systems,294804,Taiwan,National Taiwan University (NTU),80,69.8,68.2,73.1,74.4,72.3,45.7
2023,3846233,computer-science-information-systems,294800,Taiwan,National Tsing Hua University,146,65.5,61.6,71,73.1,68.5,36.4
2023,3846233,computer-science-information-systems,3740459,Taiwan,National Yang Ming Chiao Tung University,166,n/a,57.2,68.1,72.4,69.6,46.5
2023,3846233,computer-science-information-systems,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),217,n/a,53.5,61.1,76.6,70.1,53.6
2023,3846233,computer-science-information-systems,294814,Taiwan,National Cheng Kung University (NCKU),269,n/a,53.4,65.7,69.5,65.9,43.1
2023,3846233,computer-science-information-systems,294963,Taiwan,National Taipei University of Technology,270,n/a,55.9,64.2,66.5,57.7,40
2023,3846233,computer-science-information-systems,294807,Taiwan,National Sun Yat-sen University,421,n/a,44.9,59.4,74.4,61,33.1
2023,3846233,computer-science-information-systems,294816,Taiwan,National Central University,519,n/a,44.4,58.6,69.8,59,28
2023,3846233,computer-science-information-systems,294806,Taiwan,National Taiwan Normal University,520,n/a,48.5,55.5,69.8,55.4,17.9
2023,3846233,computer-science-information-systems,294811,Taiwan,National Chengchi University,619,n/a,42.9,56.8,58.8,52.8,29.6
2023,3846233,computer-science-information-systems,294692,Taiwan,National Chung Cheng University,620,n/a,39.3,56.5,68.6,56.8,18.7
2023,3846233,computer-science-information-systems,294808,Taiwan,National Chung Hsing University,621,n/a,37.8,55,71.5,60.2,33.8
2023,3846236,earth-marine-sciences,294804,Taiwan,National Taiwan University (NTU),64,n/a,76.9,78,84.6,80.7,50.5
2023,3846237,economics-econometrics,294804,Taiwan,National Taiwan University (NTU),120,67.3,69.6,73.5,66.2,57.8,
2023,3846237,economics-econometrics,294811,Taiwan,National Chengchi University,325,n/a,55.5,59.3,61.3,52.8,
2023,3846237,economics-econometrics,294807,Taiwan,National Sun Yat-sen University,326,n/a,52.2,57.5,63.9,58.9,
2023,3846237,economics-econometrics,294800,Taiwan,National Tsing Hua University,327,n/a,58.4,67.3,50.2,50.5,
2023,3846237,economics-econometrics,294814,Taiwan,National Cheng Kung University (NCKU),416,n/a,55,66.1,51.9,47,
2023,3846237,economics-econometrics,294650,Taiwan,Feng Chia University,509,n/a,45.5,46.9,61.6,54.8,
2023,3846237,economics-econometrics,294816,Taiwan,National Central University,514,n/a,47.4,56,54.1,50.5,
2023,3846238,education-training,294806,Taiwan,National Taiwan Normal University,28,80.6,75.8,75.1,87.7,88,
2023,3846238,education-training,294804,Taiwan,National Taiwan University (NTU),117,n/a,65.6,78.4,79.3,73.6,
2023,3846238,education-training,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),118,n/a,57.1,64.7,93.7,87.4,
2023,3846238,education-training,294814,Taiwan,National Cheng Kung University (NCKU),167,n/a,59,71.2,83.3,80.6,
2023,3846238,education-training,294807,Taiwan,National Sun Yat-sen University,264,n/a,53,62.2,81.6,76.9,
2023,3846238,education-training,294811,Taiwan,National Chengchi University,311,n/a,48.7,70,76.3,74.8,
2023,3846238,education-training,294800,Taiwan,National Tsing Hua University,312,n/a,56.8,70.6,69.5,67.5,
2023,3846238,education-training,3740459,Taiwan,National Yang Ming Chiao Tung University,313,n/a,48.6,66.9,80.6,76.4,
2023,3846239,chemical-engineering,294963,Taiwan,National Taipei University of Technology,75,74.5,84,65.5,84.7,70.7,36.6
2023,3846239,chemical-engineering,294804,Taiwan,National Taiwan University (NTU),82,74,71.2,73.1,87.6,81.8,48.1
2023,3846239,chemical-engineering,294800,Taiwan,National Tsing Hua University,119,n/a,64.8,69.5,84.1,74.3,51.2
2023,3846239,chemical-engineering,294814,Taiwan,National Cheng Kung University (NCKU),168,n/a,63.5,67.7,85.9,71.5,37.3
2023,3846239,chemical-engineering,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),213,n/a,59.6,60.1,81.9,69.3,43.7
2023,3846239,chemical-engineering,3740459,Taiwan,National Yang Ming Chiao Tung University,215,n/a,53.4,67.1,83.3,68.3,52.3
2023,3846239,chemical-engineering,294816,Taiwan,National Central University,325,n/a,54.3,58.4,71.6,59,39.9
2023,3846239,chemical-engineering,294808,Taiwan,National Chung Hsing University,326,n/a,55.8,56.7,77,64.1,33.6
2023,3846239,chemical-engineering,294807,Taiwan,National Sun Yat-sen University,372,n/a,50.6,58.7,72.8,61,31.5
2023,3846240,civil-structural-engineering,294804,Taiwan,National Taiwan University (NTU),69,n/a,75.7,74.3,88.6,79.1,
2023,3846240,civil-structural-engineering,294814,Taiwan,National Cheng Kung University (NCKU),118,n/a,62.6,70.5,88.5,70.9,
2023,3846240,civil-structural-engineering,294963,Taiwan,National Taipei University of Technology,173,n/a,59.8,66.2,77.7,66,
2023,3846240,civil-structural-engineering,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),174,n/a,57.8,67.4,83.7,71.5,
2023,3846241,electrical-electronic-engineering,294804,Taiwan,National Taiwan University (NTU),64,74.8,74.9,75.1,83.1,77.4,45.3
